747,243,81,204
743,244,78,200
737,239,76,204
737,239,72,204
738,239,71,204
731,241,72,207
725,245,75,206
720,245,75,206
716,245,75,206
712,251,75,203
711,251,76,203
709,247,75,203
705,243,78,203
704,243,79,203
705,240,80,203
706,240,81,203
707,240,82,203
709,240,81,203
714,240,79,203
721,243,75,203
728,243,74,203
737,243,71,203
737,243,71,203
747,243,70,203
755,243,68,203
761,243,68,203
763,242,70,206
766,247,71,203
766,247,71,203
771,247,72,203
771,247,76,203
772,241,77,203
774,238,77,202
771,237,77,198
771,237,77,198
770,230,78,198
770,230,78,198
770,230,78,198
771,230,76,198
773,233,76,198
774,233,74,198
774,232,71,202
775,232,66,202
777,232,61,202
772,235,61,202
766,237,61,198
767,237,61,198
761,237,62,198
752,237,69,198
743,237,74,198
736,237,75,198
728,239,75,194
728,239,75,194
720,239,77,194
712,244,77,191
705,244,77,191
703,241,75,191
705,241,70,191
705,241,70,191
706,243,68,188
706,246,64,188
708,246,60,188
713,243,53,188
711,243,51,188
711,243,51,188
706,243,51,188
703,243,51,188
696,249,61,182
694,251,66,178
692,254,68,178
692,254,68,178
690,259,67,178
685,265,68,178
682,269,70,174
683,270,67,174
680,275,70,171
680,275,70,171
681,276,69,169
677,276,68,169
676,276,65,171
675,272,61,168
672,271,59,171
674,271,57,171
675,267,51,167
675,263,48,167
673,257,48,167
669,252,50,167
664,248,61,164
664,248,61,164
662,247,66,161
659,244,68,161
654,246,67,159
648,242,70,161
643,239,66,161
643,241,66,159
641,241,65,159
640,245,63,156
641,244,61,159
644,247,59,159
649,244,53,159
